,address_lat,address_lng,contributors,currency,loan_identifier,monthLastUpdate,name,prices,yearLastUpdate
206,-33.434753,151.453866,13,AUD,270MNX45PC,1,"Gosford, Australia",4000.0,2016
207,-6.26634,106.924772,8,IDR,1KCHE93Q66,11,"Bekasi, Indonesia",5977500.0,2015
208,37.804199,-122.407146,297,USD,23W7RA4436,1,"San Francisco, CA, United States",4199.18947368,2016
209,39.15187,-76.634516,95,USD,1J0HR83NXM,1,"Baltimore, MD, United States",3226.46136364,2016
210,44.212298,28.623895,32,RON,1ZD357416Q,10,"Constanta, Romania",1425.0,2015
211,51.881714,0.851165,18,GBP,21VQWM42P9,1,"Colchester, United Kingdom",1189.16666667,2016
212,52.472828,-0.92121,12,GBP,26ZYWD45NQ,11,"Corby, United Kingdom",1301.43333333,2015
213,49.806316,-97.165659,148,CAD,2BHMWQ4B54,1,"Winnipeg, Canada",2827.875,2016
214,61.485375,21.796887,9,EUR,1FAZ213KEZ,11,"Pori, Finland",3000.0,2015
215,35.97069,-86.602268,15,USD,13NVN23CK5,12,"Murfreesboro, TN, United States",2491.53333333,2015
216,36.101031,-79.820668,35,USD,1SQD863Y2A,12,"Greensboro, NC, United States",3302.83333333,2015
217,45.507703,-73.552247,422,CAD,2A63JQ4900,1,"Montreal, Canada",2665.00950613,2016
218,37.671699,-122.477072,297,USD,1VAYZ83Z60,1,"San Francisco, CA, United States",4199.18947368,2016
219,48.525951,-89.215877,25,CAD,2FB6VH4JMP,11,"Thunder Bay, Canada",2569.85,2015
220,39.16804,-84.560166,86,USD,1WM5V73ZT1,12,"Cincinnati, OH, United States",2619.80384615,2015
221,19.912735,75.350203,25,INR,1VBQJC3Z6N,12,"Aurangabad, India",19000.0,2015
222,53.766425,-2.339251,7,GBP,1NTVVP3SRC,11,"Burnley, United Kingdom",1900.0,2015
223,51.517035,-0.131344,867,GBP,1T9V913YFY,1,"London, United Kingdom",1995.42261409,2016
224,19.871125,75.324231,25,INR,1X7VYJ404G,12,"Aurangabad, India",19000.0,2015
225,1.321267,103.741124,569,SGD,2BG6RR4B2D,1,"Singapore, Singapore",4219.46424104,2016
226,51.517035,-0.131344,867,GBP,20J07441W6,1,"London, United Kingdom",1995.42261409,2016
227,53.499801,49.398856,4,USD,2ASAMF49VW,11,"Tolyatti (Togliatti), Russia",450.0,2015
228,45.733108,21.241429,77,RON,20CTA841RS,1,"Timisoara, Romania",2059.41176471,2016
229,44.7443,20.420193,243,RSD,1Q8P413VMK,1,"Belgrade, Serbia",43918.1163311,2016
230,8.50405,124.736299,22,PHP,28M89Z4742,11,"Cagayan de Oro City, Philippines",10800.0,2015
231,51.517035,-0.131344,867,GBP,1VMMQ33ZAY,1,"London, United Kingdom",1995.42261409,2016
232,51.517035,-0.131344,867,GBP,1VMMVC3ZB3,1,"London, United Kingdom",1995.42261409,2016
233,13.072373,80.199958,4,INR,2B5CF54AEZ,12,"Madras, India",23500.0,2015
234,13.072373,80.199958,4,INR,21HESQ42FY,12,"Madras, India",23500.0,2015
235,59.064267,15.101492,14,SEK,1TMYDB3YRT,1,"Orebro, Sweden",17530.2,2016
236,47.075074,21.909091,33,RON,24TXET44N5,1,"Oradea, Romania",1387.5,2016
237,-33.829987,18.508987,210,ZAR,2BZF4D4BZA,1,"Cape Town, South Africa",18218.0707895,2016
238,36.714093,-4.435142,64,EUR,2CB2ZB4CX1,12,"Malaga, Spain",1141.66666667,2015
239,39.15187,-76.634516,95,USD,1PWCXG3TZZ,1,"Baltimore, MD, United States",3226.46136364,2016
240,30.191369,-98.09499,226,USD,10X0RN3BEN,1,"Austin, TX, United States",2856.28055556,2016
241,46.80969,-71.225329,88,CAD,1YXRW940ZQ,1,"Quebec City, Canada",2811.64814815,2016
242,56.945316,24.115333,176,EUR,233D2043F0,1,"Riga, Latvia",619.9375,2016
243,59.376457,24.64509,2,EUR,10ZMGT3BGS,1,"Saue, Estonia",700.0,2015
244,36.101031,-79.820668,35,USD,1NNZFC3SH1,12,"Greensboro, NC, United States",3302.83333333,2015
245,-43.546061,172.666936,110,NZD,1998RP3FAX,12,"Christchurch, New Zealand",2811.11111111,2015
